session_id,user_id,timestamp,game_type,touch_drift,response_latency,decision_speed,mistakes,mistake_rate,completion_rate,session_duration,engagement_score,behavioral_score,indicator,trend,baseline_available,score_method,top_factors
U003_S001,U003,2026-07-01,color_sort,20.52,1078.18,2.63,4,0.0181,0.8897,580.53,0.5424,0.0909,[No baseline — raw score] Behavioral pattern within expected range,Changing,False,raw_normalized,engagement / completion (normalized value: 0.61) | mistake rate (normalized value: 0.13) | touch drift (normalized value: 0.03)
U003_S002,U003,2026-07-03,memory_match,21.9,1091.07,2.94,4,0.0226,0.866,520.77,0.4736,0.0915,[No baseline — raw score] Behavioral pattern within expected range,Changing,False,raw_normalized,engagement / completion (normalized value: 1.00) | mistake rate (normalized value: 0.21) | touch drift (normalized value: 0.13)
U003_S003,U003,2026-07-05,memory_match,20.08,1193.53,3.01,2,0.0111,0.8453,540.88,0.4802,0.0803,[No baseline — raw score] Behavioral pattern within expected range,Changing,False,raw_normalized,engagement / completion (normalized value: 0.96) | response latency (normalized value: 0.21) | decision speed (normalized value: 0.11)
U003_S004,U003,2026-07-07,color_sort,26.48,1077.62,3.55,4,0.022,0.9212,647.23,0.6262,0.6333,Moderate behavioral variation detected,Changing,True,baseline_delta,mistake rate increased by 27.4% vs personal baseline | touch drift increased by 27.1% vs personal baseline | engagement / completion improved by 25.6% vs personal baseline
U003_S005,U003,2026-07-09,color_sort,26.31,1342.57,3.66,5,0.0352,0.936,520.89,0.512,0.83,Notable behavioral change detected,Changing,True,baseline_delta,mistake rate increased by 90.8% vs personal baseline | response latency increased by 20.9% vs personal baseline | decision speed increased by 20.7% vs personal baseline
U003_S006,U003,2026-07-11,memory_match,22.76,1492.38,3.98,2,0.0116,0.8998,687.21,0.6494,0.492,Moderate behavioral variation detected,Changing,True,baseline_delta,mistake rate decreased by 46.8% vs personal baseline | response latency increased by 29.0% vs personal baseline | decision speed increased by 26.0% vs personal baseline
U003_S007,U003,2026-07-13,memory_match,28.05,1460.69,3.81,6,0.0382,0.9095,599.31,0.5724,0.8172,Notable behavioral change detected,Changing,True,baseline_delta,mistake rate increased by 90.0% vs personal baseline | touch drift increased by 21.9% vs personal baseline | response latency increased by 20.5% vs personal baseline
U003_S008,U003,2026-07-15,pattern_recall,26.09,1444.59,4.32,2,0.0133,0.9107,646.62,0.6184,0.5183,Moderate behavioral variation detected,Changing,True,baseline_delta,mistake rate decreased by 41.4% vs personal baseline | decision speed increased by 28.2% vs personal baseline | response latency increased by 15.8% vs personal baseline
U003_S009,U003,2026-07-17,color_sort,32.32,1563.0,4.79,3,0.0234,0.8596,613.86,0.5542,0.75,Notable behavioral change detected,Changing,True,baseline_delta,decision speed increased by 37.4% vs personal baseline | touch drift increased by 34.5% vs personal baseline | response latency increased by 22.8% vs personal baseline
U003_S010,U003,2026-07-19,memory_match,34.27,1619.32,6.21,7,0.0654,0.9258,663.23,0.6448,0.9063,Notable behavioral change detected,Changing,True,baseline_delta,mistake rate increased by 201.1% vs personal baseline | decision speed increased by 71.0% vs personal baseline | touch drift increased by 37.4% vs personal baseline
U003_S011,U003,2026-07-21,memory_match,31.37,1562.11,4.42,5,0.0391,0.8936,566.64,0.5318,0.7513,Notable behavioral change detected,Changing,True,baseline_delta,mistake rate increased by 49.9% vs personal baseline | touch drift increased by 21.2% vs personal baseline | response latency increased by 16.9% vs personal baseline
U004_S001,U004,2026-07-01,memory_match,25.66,1946.13,4.13,5,0.0338,0.7553,612.28,0.4857,0.5312,[No baseline — raw score] Moderate behavioral variation detected,Changing,False,raw_normalized,response latency (normalized value: 1.00) | decision speed (normalized value: 0.76) | engagement / completion (normalized value: 0.60)
U004_S002,U004,2026-07-03,pattern_recall,22.92,1538.14,2.72,7,0.0244,0.7924,781.56,0.6504,0.3342,[No baseline — raw score] Behavioral pattern within expected range,Changing,False,raw_normalized,response latency (normalized value: 0.63) | engagement / completion (normalized value: 0.27) | decision speed (normalized value: 0.26)
U004_S003,U004,2026-07-05,pattern_recall,23.84,847.19,3.73,5,0.0617,0.8891,301.41,0.2814,0.2663,[No baseline — raw score] Behavioral pattern within expected range,Changing,False,raw_normalized,engagement / completion (normalized value: 1.00) | decision speed (normalized value: 0.62) | mistake rate (normalized value: 0.60)
U004_S004,U004,2026-07-07,color_sort,44.46,1728.34,2.56,8,0.0276,0.8633,741.81,0.6726,0.5466,Moderate behavioral variation detected,Changing,True,baseline_delta,touch drift increased by 84.2% vs personal baseline | engagement / completion improved by 42.4% vs personal baseline | mistake rate decreased by 30.9% vs personal baseline
U004_S005,U004,2026-07-09,memory_match,33.81,1200.77,1.98,8,0.0301,0.835,527.36,0.4625,0.355,Behavioral pattern within expected range,Changing,True,baseline_delta,decision speed decreased by 39.7% vs personal baseline | response latency decreased by 20.7% vs personal baseline | mistake rate decreased by 18.4% vs personal baseline
U004_S006,U004,2026-07-11,memory_match,28.79,1198.36,4.26,8,0.0404,0.7285,844.86,0.6464,0.5208,Moderate behavioral variation detected,Changing,True,baseline_delta,decision speed increased by 40.9% vs personal baseline | engagement / completion improved by 26.6% vs personal baseline | response latency decreased by 17.5% vs personal baseline
U004_S007,U004,2026-07-13,pattern_recall,30.56,1565.51,4.37,8,0.0367,0.7899,952.2,0.7899,0.5403,Moderate behavioral variation detected,Changing,True,baseline_delta,engagement / completion improved by 48.1% vs personal baseline | decision speed increased by 35.3% vs personal baseline | response latency increased by 11.0% vs personal baseline
U004_S008,U004,2026-07-15,color_sort,33.85,1719.04,4.82,8,0.087,0.8102,444.84,0.3785,0.8861,Notable behavioral change detected,Changing,True,baseline_delta,mistake rate increased by 139.1% vs personal baseline | decision speed increased by 42.1% vs personal baseline | engagement / completion declined by 33.6% vs personal baseline
U004_S009,U004,2026-07-17,color_sort,21.04,1366.67,3.86,7,0.0355,0.7727,759.1,0.616,0.3588,Behavioral pattern within expected range,Changing,True,baseline_delta,touch drift decreased by 31.0% vs personal baseline | mistake rate decreased by 16.9% vs personal baseline | engagement / completion improved by 12.8% vs personal baseline
U005_S001,U005,2026-07-01,memory_match,27.76,1436.01,5.01,6,0.0513,0.7553,585.02,0.464,0.85,[No baseline — raw score] Notable behavioral change detected,Insufficient Data,False,raw_normalized,touch drift (normalized value: 1.00) | response latency (normalized value: 1.00) | decision speed (normalized value: 1.00)
U005_S002,U005,2026-07-03,color_sort,27.44,1178.22,3.84,8,0.0437,0.8076,704.58,0.5976,0.15,[No baseline — raw score] Behavioral pattern within expected range,Insufficient Data,False,raw_normalized,touch drift (normalized value: 0.00) | response latency (normalized value: 0.00) | decision speed (normalized value: 0.00)
